# ----------------------------------------
# All Web Site Data
# Overview
# 20150801-20150831
# ----------------------------------------

Day Index,Pageviews
8/1/15,"106,045"
8/2/15,"99,371"
8/3/15,"125,395"
8/4/15,"134,146"
8/5/15,"133,313"
8/6/15,"133,525"
8/7/15,"124,318"
8/8/15,"107,044"
8/9/15,"101,798"
8/10/15,"120,408"
8/11/15,"135,552"
8/12/15,"133,834"
8/13/15,"128,649"
8/14/15,"141,699"
8/15/15,"128,022"
8/16/15,"123,461"
8/17/15,"152,346"
8/18/15,"161,452"
8/19/15,"159,743"
8/20/15,"163,058"
8/21/15,"151,719"
8/22/15,"127,207"
8/23/15,"124,121"
8/24/15,"149,329"
8/25/15,"164,106"
8/26/15,"163,629"
8/27/15,"167,420"
8/28/15,"160,797"
8/29/15,"132,490"
8/30/15,"126,403"
8/31/15,"151,242"
,"4,231,642"

